gender,age,occupation,lower_wage,upper_wage,middle_salary
M,43,2,30000,40000,35000
M,59,2,35000,45000,40000
M,32,2,30000,40000,35000
M,62,2,30000,45000,37500
M,25,2,28000,38000,33000
M,27,2,30000,40000,35000
M,64,2,30000,45000,37500
M,43,2,30000,40000,35000
M,43,2,30000,45000,37500
M,52,2,35000,45000,40000
M,53,2,35000,45000,40000
M,34,2,30000,40000,35000
M,59,2,35000,45000,40000
M,61,2,35000,45000,40000
M,34,2,32000,42000,37000
M,62,2,35000,45000,40000
M,59,2,35000,45000,40000
M,60,2,35000,45000,40000
M,45,2,30000,45000,37500
M,38,2,32000,42000,37000
M,52,2,35000,45000,40000
M,39,2,32000,42000,37000
M,65,2,35000,45000,40000
M,47,2,32000,42000,37000
M,40,2,30000,40000,35000
M,58,2,35000,45000,40000
M,51,2,30000,45000,37500
M,58,2,35000,45000,40000
M,59,2,35000,45000,40000
M,39,2,30000,40000,35000
M,42,2,30000,40000,35000
M,46,2,32000,42000,37000
M,30,2,30000,40000,35000
M,36,2,30000,40000,35000
M,63,2,30000,45000,37500
M,34,2,30000,40000,35000
M,27,2,30000,40000,35000
M,33,2,30000,40000,35000
M,53,2,35000,45000,40000
M,60,2,35000,45000,40000
M,43,2,32000,42000,37000
M,30,2,30000,40000,35000
M,42,2,30000,40000,35000
M,60,2,35000,45000,40000
M,54,2,35000,45000,40000
M,57,2,35000,45000,40000
M,28,2,30000,40000,35000
M,37,2,30000,40000,35000
M,43,2,32000,42000,37000
M,36,2,30000,40000,35000
M,28,2,30000,40000,35000
M,55,2,35000,45000,40000
M,49,2,35000,45000,40000
M,36,2,30000,40000,35000
M,53,2,32000,42000,37000
M,33,2,30000,40000,35000
M,62,2,32000,42000,37000
M,51,2,32000,45000,38500
M,26,2,28000,38000,33000
M,47,2,30000,45000,37500
M,31,2,30000,40000,35000
M,62,2,35000,45000,40000
M,51,2,35000,45000,40000
M,40,2,30000,40000,35000
M,32,2,30000,40000,35000
M,45,2,30000,40000,35000
M,43,2,30000,40000,35000
M,38,2,30000,45000,37500
M,25,2,28000,38000,33000
M,36,2,30000,40000,35000
M,25,2,28000,35000,31500
M,58,2,35000,45000,40000
M,29,2,30000,40000,35000
M,35,2,30000,40000,35000
M,48,2,35000,45000,40000
M,46,2,32000,42000,37000
M,42,2,30000,40000,35000
M,25,2,28000,38000,33000
M,39,2,30000,45000,37500
M,43,2,32000,42000,37000
M,38,2,30000,45000,37500
M,26,2,28000,38000,33000
M,62,2,30000,45000,37500
M,46,2,30000,40000,35000
M,64,2,30000,45000,37500
M,37,2,30000,40000,35000
M,47,2,30000,45000,37500
M,33,2,30000,40000,35000
M,50,2,35000,45000,40000
M,33,2,30000,40000,35000
M,44,2,32000,42000,37000
M,65,2,35000,45000,40000
M,60,2,35000,45000,40000
M,26,2,28000,38000,33000
M,40,2,30000,40000,35000
M,47,2,32000,42000,37000
M,53,2,32000,42000,37000
M,62,2,35000,45000,40000
M,42,2,30000,40000,35000
M,51,2,30000,45000,37500
M,35,2,30000,40000,35000
M,53,2,35000,45000,40000
M,45,2,32000,42000,37000
M,34,2,30000,40000,35000
M,29,2,28000,38000,33000
M,48,2,35000,45000,40000
M,65,2,35000,45000,40000
M,29,2,30000,40000,35000
M,35,2,30000,40000,35000
M,56,2,35000,45000,40000
M,65,2,30000,45000,37500
M,62,2,32000,45000,38500
M,57,2,35000,45000,40000
M,44,2,32000,42000,37000
M,38,2,30000,40000,35000
M,62,2,35000,45000,40000
M,57,2,35000,45000,40000
M,56,2,35000,45000,40000
M,32,2,30000,40000,35000
M,26,2,28000,38000,33000
M,46,2,30000,40000,35000
M,47,2,30000,40000,35000
M,35,2,30000,40000,35000
M,44,2,30000,45000,37500
M,33,2,30000,40000,35000
M,41,2,30000,45000,37500
M,30,2,30000,40000,35000
M,38,2,30000,45000,37500
M,28,2,30000,40000,35000
M,26,2,28000,38000,33000
M,48,2,32000,42000,37000
M,56,2,35000,45000,40000
M,51,2,35000,45000,40000
M,60,2,35000,45000,40000
M,52,2,35000,45000,40000
M,44,2,30000,40000,35000
M,32,2,30000,40000,35000
M,31,2,30000,40000,35000
M,60,2,35000,45000,40000
M,49,2,32000,42000,37000
M,31,2,30000,40000,35000
M,62,2,35000,45000,40000
M,35,2,30000,40000,35000
M,32,2,30000,40000,35000
M,26,2,28000,38000,33000
M,60,2,35000,45000,40000
M,30,2,30000,40000,35000
M,61,2,35000,45000,40000
M,39,2,32000,42000,37000
M,46,2,32000,42000,37000
M,65,2,35000,45000,40000
M,36,2,30000,40000,35000
M,54,2,35000,45000,40000
M,41,2,30000,40000,35000
M,25,2,28000,38000,33000
M,34,2,30000,40000,35000
M,56,2,35000,45000,40000
M,34,2,30000,40000,35000
M,52,2,35000,45000,40000
M,62,2,30000,45000,37500
M,62,2,35000,45000,40000
M,40,2,30000,40000,35000
M,54,2,35000,45000,40000
M,44,2,32000,42000,37000
M,38,2,30000,40000,35000
M,64,2,30000,45000,37500
M,28,2,30000,40000,35000
M,48,2,35000,45000,40000
M,47,2,32000,42000,37000
M,33,2,30000,40000,35000
M,38,2,30000,40000,35000
M,35,2,30000,40000,35000
M,60,2,35000,45000,40000
M,56,2,35000,45000,40000
M,44,2,30000,45000,37500
M,46,2,32000,42000,37000
M,47,2,30000,40000,35000
M,54,2,35000,45000,40000
M,26,2,28000,38000,33000
M,46,2,32000,42000,37000
M,44,2,32000,42000,37000
M,61,2,35000,45000,40000
M,30,2,30000,40000,35000
M,57,2,35000,45000,40000
M,42,2,30000,40000,35000
M,57,2,35000,45000,40000
M,55,2,35000,45000,40000
M,63,2,35000,45000,40000
M,52,2,35000,45000,40000
M,62,2,35000,45000,40000
M,34,2,32000,42000,37000
M,36,2,30000,40000,35000
M,46,2,30000,40000,35000
M,60,2,35000,45000,40000
M,42,2,30000,40000,35000
M,26,2,28000,38000,33000
M,40,2,30000,40000,35000
M,31,2,30000,40000,35000
M,30,2,30000,40000,35000
M,55,2,35000,45000,40000
M,55,2,35000,45000,40000
M,48,2,35000,45000,40000
M,39,2,32000,42000,37000
M,61,2,35000,45000,40000
M,35,2,30000,40000,35000
M,25,2,28000,38000,33000
M,38,2,30000,45000,37500
M,46,2,32000,42000,37000
M,41,2,30000,45000,37500
M,36,2,30000,40000,35000
M,35,2,30000,40000,35000
M,26,2,28000,38000,33000
M,50,2,35000,45000,40000
M,65,2,35000,45000,40000
M,35,2,30000,40000,35000
M,55,2,35000,45000,40000
M,46,2,32000,42000,37000
M,42,2,30000,40000,35000
M,53,2,33000,45000,39000
M,60,2,35000,45000,40000
M,36,2,32000,42000,37000
M,65,2,35000,45000,40000
M,56,2,35000,45000,40000
M,54,2,35000,45000,40000
M,65,2,35000,45000,40000
M,40,2,30000,40000,35000
M,30,2,30000,40000,35000
M,62,2,35000,45000,40000
M,30,2,30000,40000,35000
M,42,2,30000,45000,37500
M,38,2,30000,40000,35000
M,32,2,30000,40000,35000
M,49,2,32000,42000,37000
M,58,2,35000,45000,40000
M,38,2,30000,40000,35000
M,42,2,32000,42000,37000
M,33,2,30000,40000,35000
M,29,2,30000,40000,35000
M,29,2,30000,40000,35000
M,45,2,32000,42000,37000
M,39,2,30000,40000,35000
M,33,2,30000,40000,35000
M,54,3,30000,40000,35000
M,55,3,30000,40000,35000
M,38,3,30000,40000,35000
M,63,3,30000,40000,35000
M,46,3,32000,42000,37000
M,58,3,30000,40000,35000
M,53,3,30000,40000,35000
M,33,3,30000,38000,34000
M,51,3,30000,40000,35000
M,40,3,30000,40000,35000
M,64,3,30000,40000,35000
M,57,3,30000,40000,35000
M,62,3,30000,40000,35000
M,39,3,30000,40000,35000
M,48,3,30000,40000,35000
M,52,3,30000,40000,35000
M,42,3,30000,40000,35000
M,29,3,28000,38000,33000
M,47,3,30000,40000,35000
M,26,3,30000,38000,34000
M,34,3,30000,40000,35000
M,41,3,30000,40000,35000
M,44,3,30000,40000,35000
M,25,3,28000,38000,33000
M,62,3,30000,40000,35000
M,47,3,30000,40000,35000
M,59,3,30000,40000,35000
M,60,3,30000,40000,35000
M,54,3,30000,40000,35000
M,27,3,28000,38000,33000
M,28,3,28000,38000,33000
M,25,3,28000,38000,33000
M,30,3,30000,40000,35000
M,30,3,30000,40000,35000
M,55,3,30000,40000,35000
M,31,3,30000,38000,34000
M,41,3,30000,40000,35000
M,41,3,30000,40000,35000
M,45,3,30000,40000,35000
M,48,3,30000,40000,35000
M,29,3,30000,38000,34000
M,64,3,30000,40000,35000
M,59,3,30000,40000,35000
M,29,3,28000,38000,33000
M,52,3,32000,42000,37000
M,59,3,32000,42000,37000
M,31,3,30000,40000,35000
M,64,3,30000,40000,35000
M,49,3,30000,40000,35000
M,62,3,30000,40000,35000
M,57,3,30000,40000,35000
M,51,3,30000,40000,35000
M,51,3,30000,40000,35000
M,49,3,32000,42000,37000
M,47,3,30000,40000,35000
M,28,3,28000,38000,33000
M,44,3,30000,40000,35000
M,42,3,30000,40000,35000
M,27,3,28000,38000,33000
M,41,3,30000,40000,35000
M,37,3,30000,40000,35000
M,28,3,28000,38000,33000
M,65,3,30000,40000,35000
M,37,3,30000,40000,35000
M,37,3,30000,40000,35000
M,50,3,30000,40000,35000
M,55,3,30000,40000,35000
M,31,3,30000,40000,35000
M,26,3,28000,38000,33000
M,41,3,30000,40000,35000
M,54,3,30000,45000,37500
M,42,3,30000,40000,35000
M,57,3,30000,40000,35000
M,40,3,30000,40000,35000
M,25,3,28000,35000,31500
M,37,3,30000,40000,35000
M,56,3,30000,40000,35000
M,53,3,30000,40000,35000
M,58,3,30000,40000,35000
M,33,3,30000,40000,35000
M,51,3,30000,40000,35000
M,45,3,30000,40000,35000
M,46,3,30000,40000,35000
M,55,3,30000,40000,35000
M,46,3,30000,40000,35000
M,34,3,30000,40000,35000
M,37,3,30000,40000,35000
M,55,3,30000,40000,35000
M,53,3,30000,40000,35000
M,27,3,28000,38000,33000
M,64,3,30000,40000,35000
M,51,3,30000,40000,35000
M,49,3,30000,40000,35000
M,28,3,28000,38000,33000
M,38,3,30000,40000,35000
M,26,3,28000,38000,33000
M,27,3,28000,38000,33000
M,39,3,30000,40000,35000
M,34,3,30000,40000,35000
M,37,3,30000,40000,35000
M,44,3,30000,40000,35000
M,65,3,30000,40000,35000
M,63,3,30000,40000,35000
M,37,3,30000,40000,35000
M,33,3,30000,38000,34000
M,35,3,30000,40000,35000
M,61,3,30000,40000,35000
M,45,3,30000,40000,35000
M,32,3,30000,40000,35000
M,46,3,30000,40000,35000
M,45,3,30000,40000,35000
M,45,3,30000,40000,35000
M,38,3,30000,40000,35000
M,48,3,30000,40000,35000
M,26,3,28000,38000,33000
M,30,3,28000,38000,33000
M,59,3,32000,42000,37000
M,54,3,30000,40000,35000
M,62,3,30000,40000,35000
M,45,3,30000,40000,35000
M,39,3,30000,40000,35000
M,51,3,30000,40000,35000
M,45,3,30000,40000,35000
M,55,3,30000,40000,35000
M,25,3,28000,38000,33000
M,49,3,30000,40000,35000
M,39,3,30000,40000,35000
M,37,3,30000,40000,35000
M,32,3,30000,40000,35000
M,41,3,30000,40000,35000
M,47,3,30000,40000,35000
M,33,3,30000,38000,34000
M,45,3,30000,40000,35000
M,38,3,30000,40000,35000
M,54,3,30000,40000,35000
M,42,3,30000,40000,35000
M,52,3,30000,45000,37500
M,39,3,30000,40000,35000
M,53,3,30000,40000,35000
M,60,3,32000,42000,37000
M,50,3,30000,40000,35000
M,46,3,30000,40000,35000
M,52,3,30000,40000,35000
M,40,3,30000,40000,35000
M,53,3,30000,40000,35000
M,39,3,30000,40000,35000
M,34,3,30000,40000,35000
M,51,3,30000,40000,35000
M,26,3,28000,38000,33000
M,46,3,30000,40000,35000
M,31,3,30000,38000,34000
M,52,3,30000,40000,35000
M,52,3,30000,40000,35000
M,65,3,30000,40000,35000
M,31,3,30000,38000,34000
M,50,3,30000,40000,35000
M,50,3,30000,40000,35000
M,52,3,30000,40000,35000
M,29,3,30000,38000,34000
M,28,3,30000,38000,34000
M,50,3,30000,40000,35000
M,34,3,30000,40000,35000
M,49,3,30000,40000,35000
M,53,3,30000,40000,35000
M,43,3,30000,40000,35000
M,31,3,30000,38000,34000
M,53,3,30000,40000,35000
M,38,3,30000,40000,35000
M,34,3,30000,40000,35000
M,53,3,30000,40000,35000
M,47,3,30000,40000,35000
M,35,3,30000,40000,35000
M,55,3,30000,40000,35000
M,43,3,30000,40000,35000
M,65,3,30000,40000,35000
M,32,3,30000,40000,35000
M,55,3,30000,40000,35000
M,37,3,30000,40000,35000
M,64,3,30000,40000,35000
M,31,3,30000,40000,35000
M,62,3,30000,40000,35000
M,39,3,30000,40000,35000
M,50,3,30000,40000,35000
M,37,3,30000,40000,35000
M,32,3,30000,40000,35000
M,54,3,30000,40000,35000
M,64,3,30000,40000,35000
M,29,3,30000,38000,34000
M,33,3,30000,40000,35000
M,39,3,30000,40000,35000
M,26,3,28000,38000,33000
M,46,3,30000,40000,35000
M,31,3,30000,38000,34000
M,34,3,30000,40000,35000
M,33,3,30000,40000,35000
M,46,3,30000,40000,35000
M,44,3,30000,40000,35000
M,47,3,30000,40000,35000
M,29,3,28000,38000,33000
M,26,3,28000,38000,33000
M,26,3,28000,38000,33000
M,38,3,30000,40000,35000
M,28,3,28000,38000,33000
M,33,3,30000,40000,35000
M,29,3,28000,38000,33000
M,40,3,30000,40000,35000
M,65,3,30000,40000,35000
M,51,3,30000,40000,35000
M,54,3,30000,40000,35000
M,37,3,30000,40000,35000
M,62,3,30000,40000,35000
M,45,3,30000,40000,35000
M,52,3,30000,40000,35000
M,65,3,30000,40000,35000
M,42,3,30000,38000,34000
M,54,3,30000,40000,35000
M,34,3,30000,40000,35000
M,56,3,32000,42000,37000
M,36,3,30000,40000,35000
M,29,3,28000,38000,33000
M,64,3,30000,40000,35000
M,49,3,32000,42000,37000
M,54,3,30000,40000,35000
M,38,3,30000,40000,35000
M,53,3,30000,40000,35000
M,28,3,28000,38000,33000
M,28,3,30000,38000,34000
M,39,3,30000,40000,35000
M,31,3,28000,38000,33000
M,28,3,28000,38000,33000
M,58,3,30000,40000,35000
M,53,3,30000,40000,35000
M,57,3,30000,40000,35000
M,48,3,30000,40000,35000
M,45,3,30000,40000,35000
M,63,3,30000,40000,35000
M,48,3,30000,40000,35000
M,26,3,28000,38000,33000
M,33,3,30000,40000,35000
M,26,3,28000,38000,33000
M,45,3,30000,40000,35000
M,39,3,30000,40000,35000
M,50,3,30000,40000,35000
M,60,3,30000,40000,35000
M,33,3,30000,40000,35000
M,59,3,30000,40000,35000
M,38,3,30000,40000,35000
M,43,3,30000,40000,35000
M,41,3,30000,40000,35000
M,64,3,30000,40000,35000
M,38,3,30000,40000,35000
M,50,3,30000,40000,35000
M,41,3,30000,38000,34000
M,62,3,30000,45000,37500
M,65,3,30000,40000,35000
M,54,3,30000,40000,35000
M,44,3,30000,40000,35000
M,51,3,30000,40000,35000
M,51,3,32000,42000,37000
M,32,3,30000,40000,35000
M,38,3,30000,40000,35000
M,37,3,30000,40000,35000
M,33,3,30000,38000,34000
M,60,3,30000,40000,35000
M,28,3,30000,38000,34000
M,47,3,30000,40000,35000
M,59,3,30000,40000,35000
M,38,3,30000,40000,35000
M,38,3,30000,40000,35000
M,25,3,28000,38000,33000
M,46,3,30000,40000,35000
M,49,3,30000,40000,35000
M,45,3,30000,40000,35000
M,53,3,30000,40000,35000
M,29,3,28000,38000,33000
M,58,3,30000,40000,35000
M,53,3,32000,42000,37000
M,61,3,32000,42000,37000
M,46,3,30000,40000,35000
M,65,3,30000,40000,35000
M,34,3,30000,40000,35000
M,54,3,30000,40000,35000
M,33,3,30000,40000,35000
M,57,3,30000,40000,35000
M,38,3,30000,40000,35000
M,64,3,30000,40000,35000
M,50,3,30000,40000,35000
M,41,3,30000,40000,35000
M,26,3,28000,38000,33000
M,61,3,30000,40000,35000
M,31,3,30000,38000,34000
M,48,3,30000,40000,35000
M,40,3,30000,40000,35000
M,25,3,28000,38000,33000
M,52,3,30000,40000,35000
M,54,3,30000,40000,35000
M,57,3,30000,40000,35000
M,44,3,30000,40000,35000
M,29,3,30000,38000,34000
M,57,3,30000,40000,35000
M,57,4,35000,45000,40000
M,50,4,35000,45000,40000
M,43,4,30000,40000,35000
M,43,4,30000,40000,35000
M,47,4,30000,40000,35000
M,50,4,35000,45000,40000
M,58,4,35000,45000,40000
M,46,4,30000,40000,35000
M,29,4,30000,40000,35000
M,41,4,30000,40000,35000
M,40,4,30000,40000,35000
M,56,4,35000,45000,40000
M,41,4,30000,40000,35000
M,30,4,30000,38000,34000
M,58,4,35000,45000,40000
M,41,4,30000,40000,35000
M,32,4,30000,40000,35000
M,56,4,35000,45000,40000
M,40,4,30000,40000,35000
M,49,4,30000,40000,35000
M,31,4,30000,40000,35000
M,35,4,30000,40000,35000
M,48,4,30000,40000,35000
M,33,4,30000,40000,35000
M,63,4,35000,45000,40000
M,41,4,32000,42000,37000
M,45,4,30000,40000,35000
M,42,4,30000,40000,35000
M,34,4,30000,40000,35000
